ts,run_name,split,stage,ndcg@k,recall@k,ref_free_mean_score,ref_free_redundancy,latency_s,faithfulness,answer_relevancy
01:49:55,baseline,main,retrieval,0.6740314823062714,0.7694999999999999,0.5735754797672531,0.0,22.452679872512817,,
02:05:33,chunk_256,main,retrieval,0.6784245854717241,0.7607499999999999,0.5780758580869597,0.0,26.49620747566223,,
02:21:07,chunk_1024,main,retrieval,0.6749898258120937,0.7632499999999999,0.5726486519595497,0.0,21.66492486000061,,
02:34:19,hierarchical,main,retrieval,0.6838371844776207,0.7669999999999999,0.5657092592249712,0.0,26.681055307388306,,
02:47:02,matryoshka_512,main,retrieval,0.6555114575805976,0.7515833333333333,0.60558403337308,0.0,19.03277611732483,,
03:54:57,advanced_full,main,retrieval,0.0805321871067217,0.1229166666666666,-2.9793977050781244,0.0,300.7412784099579,,
07:02:57,prompt_tuned,main,e2e,,,,,341.3321213722229,0.0,0.0
14:32:28,advanced_full,main,retrieval,0.7233735129407046,0.8083333333333335,0.5867679290771485,0.0,2003.4935421943665,,
15:05:16,prompt_tuned,main,e2e,,,,,310.6186378002167,0.0,0.0
16:29:30,prompt_tuned,main,e2e,,,,,111.16262245178224,0.7,0.7
16:55:00,final_submission,challenge,retrieval,0.7626235973103086,0.85,0.5103161392211913,0.0,490.4418923854828,,
17:23:29,final_submission,challenge,e2e,,,,,332.56738781929016,0.9,1.0
17:37:07,baseline_submission,challenge,retrieval,0.6366771755338547,0.7633333333333333,0.5561619106296525,0.0,7.838023900985718,,
18:03:04,baseline_submission,challenge,e2e,,,,,332.301167011261,0.9,1.0
